EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
421|1.090112|0.336512|5.375264|2.896704
422|1.090112|0.336512|5.593696|2.838272
423|1.090112|0.332864|5.382176|2.836160
424|1.090112|0.334976|5.634048|2.902016
425|1.090112|0.334048|5.639264|2.965408
426|1.090112|0.306624|5.103616|2.729856
427|1.090112|0.307264|5.473376|2.661120
428|1.090112|0.306464|5.220608|2.674400
429|1.090112|0.304576|5.253952|2.726272
430|1.090112|0.306496|4.963296|2.658304
431|1.090112|0.308736|5.260192|2.696320
432|1.090112|0.303648|5.080224|2.696448
433|1.090112|0.309152|5.117600|2.693184
434|1.090112|0.307648|4.846112|2.722688
435|1.090112|0.305984|4.939328|2.748896
436|1.090112|0.306528|4.926720|2.747840
437|1.090112|0.307424|5.009504|2.716768
438|1.090112|0.303456|4.856640|2.682240
439|1.090112|0.307808|5.031872|2.742560
440|1.090112|0.302496|5.320416|2.690848
441|1.090112|0.307840|5.202752|2.670176
442|1.090112|0.306688|5.049472|2.690784
443|1.090112|0.316736|4.881056|2.593120
444|1.090112|0.300160|4.974496|2.712864
445|1.090112|0.294528|4.904480|2.692224
446|1.090112|0.301120|5.158560|2.661952
447|1.090112|0.298688|4.925376|2.669376
448|1.090112|0.298752|4.889312|2.639360
449|1.090112|0.300736|5.200448|2.565248
450|1.090112|0.298656|5.148384|2.681088
451|1.090112|0.298496|4.266432|2.691584
452|1.090112|0.297760|5.129600|2.606528
453|1.090112|0.299616|4.941376|2.685984
454|1.090112|0.301952|5.196096|2.664288
455|1.090112|0.295744|4.797216|2.655584
456|1.090112|0.301280|5.053952|2.682112
457|1.090112|0.302528|5.243008|2.625056
458|1.090112|0.296288|4.775424|2.604928
459|1.090112|0.300032|4.882368|2.601344
460|1.090112|0.294656|4.860224|2.636480
461|1.090112|0.299680|5.062432|2.591168
462|1.090112|0.300064|4.909504|2.612096
463|1.090112|0.297184|5.203520|2.644288
464|1.090112|0.298272|4.574656|2.688768
465|1.090112|0.297440|5.064960|2.621088
466|1.090112|0.299232|5.026112|2.644192
467|1.090112|0.307008|4.750144|2.625344
468|1.090112|0.302336|5.388800|2.608288
469|1.090112|0.297952|5.185664|2.622240
470|1.090112|0.297120|4.951072|2.607744
471|1.090112|0.295200|4.759424|2.564192
472|1.090112|0.302272|4.777376|2.648000
473|1.090112|0.296960|4.851328|2.550016
474|1.090112|0.296352|5.089760|2.705888
475|1.090112|0.296000|4.654560|2.540704
476|1.090112|0.302240|5.064384|2.625696
477|1.090112|0.297024|5.271936|2.604480
478|1.090112|0.299392|4.987936|2.610144
479|1.090112|0.297440|4.952096|2.626688
480|1.090112|0.298336|4.925536|2.594112
481|1.090112|0.297152|5.106112|2.639936
482|1.090112|0.298560|5.148256|2.572000
483|1.090112|0.300960|4.906624|2.724832
484|1.090112|0.300160|4.784544|2.630880
485|1.090112|0.301472|4.677824|2.680768
486|1.090112|0.303840|5.226880|2.638816
487|1.090112|0.298368|4.924512|2.637440
488|1.090112|0.301248|4.986624|2.558240
489|1.090112|0.295680|4.906144|2.704736
490|1.090112|0.295232|4.060864|2.634784
491|1.090112|0.304032|4.764160|2.750784
492|1.090112|0.302592|4.956544|2.711776
493|1.090112|0.301504|5.116960|2.645760
494|1.090112|0.297952|4.940896|2.603680
495|1.090112|0.301184|5.255808|2.611136
496|1.090112|0.302784|4.873408|2.621920
497|1.090112|0.299808|4.738464|2.604672
498|1.090112|0.296480|4.718848|2.563360
499|1.090112|0.302304|5.081152|2.577920
500|1.090112|0.298656|4.981760|2.616896
501|1.090112|0.298304|5.171328|2.617952
502|1.090112|0.296224|4.723840|2.605024
503|1.090112|0.297280|4.040832|2.720768
504|1.090112|0.299552|4.940896|2.612128
505|1.090112|0.300064|5.087744|2.719648
506|1.090112|0.297088|4.698560|2.630048
507|1.090112|0.299712|4.834656|2.707936
508|1.090112|0.303968|5.088832|2.608448
509|1.090112|0.298464|5.122720|2.664352
510|1.090112|0.299616|4.759840|2.538848
511|1.090112|0.302688|5.074976|2.727328
512|1.090112|0.302816|5.059744|2.649184
513|1.090112|0.302720|5.124576|2.468768
514|1.090112|0.299584|4.977408|2.630176
515|1.090112|0.299232|4.772608|2.621600
516|1.090112|0.299936|5.105696|2.660000
517|1.090112|0.295840|4.142176|2.682816
