
INITIAL POPULATION FOR  W5-TTP
Individual 73: 1, 2[1], 4[0], 3[1], 5[0], 1 Profit: 111.043710 - Revenue: 340.000000 - Time: 91.582516 - Distance: 17.204651
Individual 74: 1, 4[0], 3[0], 2[1], 5[1], 1 Profit: -74.429180 - Revenue: 70.000000 - Time: 57.771672 - Distance: 17.204651
Individual 75: 1, 2[1], 4[0], 5[0], 3[0], 1 Profit: -103.702366 - Revenue: 40.000000 - Time: 57.480947 - Distance: 29.732137
Individual 76: 1, 5[0], 4[0], 3[0], 2[1], 1 Profit: -76.838294 - Revenue: 40.000000 - Time: 46.735318 - Distance: 15.620499
Individual 77: 1, 5[0], 4[0], 2[1], 3[1], 1 Profit: 82.836811 - Revenue: 340.000000 - Time: 102.865276 - Distance: 29.732137
Individual 78: 1, 3[1], 2[0], 4[0], 5[0], 1 Profit: -174.972202 - Revenue: 300.000000 - Time: 189.988881 - Distance: 17.204651
Individual 79: 1, 5[0], 2[1], 3[0], 4[1], 1 Profit: -77.096317 - Revenue: 90.000000 - Time: 66.838527 - Distance: 34.058773
Individual 80: 1, 4[0], 5[0], 2[0], 3[0], 1 Profit: -159.239628 - Revenue: 0.000000 - Time: 63.695851 - Distance: 29.732137
Individual 81: 1, 2[0], 3[0], 5[0], 4[0], 1 Profit: -133.975391 - Revenue: 0.000000 - Time: 53.590156 - Distance: 34.058773
Individual 82: 1, 4[1], 3[1], 2[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 83: 1, 5[0], 4[0], 2[1], 3[0], 1 Profit: -120.001091 - Revenue: 40.000000 - Time: 64.000436 - Distance: 29.732137
Individual 84: 1, 4[1], 2[0], 3[1], 5[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 85: 1, 2[1], 4[0], 3[1], 5[0], 1 Profit: 111.043710 - Revenue: 340.000000 - Time: 91.582516 - Distance: 17.204651
Individual 86: 1, 4[0], 3[1], 5[0], 2[1], 1 Profit: 53.192858 - Revenue: 340.000000 - Time: 114.722857 - Distance: 15.620499
Individual 87: 1, 5[0], 3[1], 2[0], 4[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 88: 1, 4[0], 3[0], 5[0], 2[1], 1 Profit: -86.154335 - Revenue: 40.000000 - Time: 50.461734 - Distance: 15.620499
Individual 89: 1, 2[0], 3[0], 4[0], 5[0], 1 Profit: -116.767748 - Revenue: 0.000000 - Time: 46.707099 - Distance: 17.204651
Individual 90: 1, 5[1], 4[0], 3[1], 2[0], 1 Profit: 13.586926 - Revenue: 330.000000 - Time: 126.565229 - Distance: 15.620499
Individual 91: 1, 4[0], 3[0], 5[0], 2[1], 1 Profit: -86.154335 - Revenue: 40.000000 - Time: 50.461734 - Distance: 15.620499
Individual 92: 1, 3[1], 5[0], 2[0], 4[0], 1 Profit: -208.243776 - Revenue: 300.000000 - Time: 203.297510 - Distance: 34.058773
Individual 93: 1, 3[1], 4[1], 2[0], 5[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 94: 1, 5[0], 3[1], 4[0], 2[1], 1 Profit: -12.733675 - Revenue: 340.000000 - Time: 141.093470 - Distance: 15.620499
Individual 95: 1, 4[0], 5[0], 3[0], 2[0], 1 Profit: -133.975391 - Revenue: 0.000000 - Time: 53.590156 - Distance: 15.620499
Individual 96: 1, 5[1], 2[0], 4[0], 3[1], 1 Profit: 29.396777 - Revenue: 330.000000 - Time: 120.241289 - Distance: 29.732137
