PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.858560 ms
Individual 56: 1, 4[0], 5[1], 3[0], 2[1], 1 Profit: -69.413980 - Revenue: 70.000000 - Time: 55.765592 - Distance: 15.620499
Individual 57: 1, 5[1], 2[1], 4[1], 3[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 58: 1, 3[0], 5[0], 2[0], 4[0], 1 Profit: -169.067181 - Revenue: 0.000000 - Time: 67.626872 - Distance: 34.058773
Individual 59: 1, 4[0], 3[0], 2[0], 5[1], 1 Profit: -114.248153 - Revenue: 30.000000 - Time: 57.699261 - Distance: 17.204651
Individual 60: 1, 2[1], 5[1], 4[1], 3[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 61: 1, 5[1], 3[0], 4[0], 2[0], 1 Profit: -104.748796 - Revenue: 30.000000 - Time: 53.899518 - Distance: 15.620499
Individual 62: 1, 3[1], 5[0], 2[1], 4[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 63: 1, 5[1], 4[1], 2[0], 3[0], 1 Profit: -169.623640 - Revenue: 80.000000 - Time: 99.849456 - Distance: 29.732137
Individual 64: 1, 3[1], 2[0], 5[1], 4[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 65: 1, 2[0], 5[0], 4[1], 3[0], 1 Profit: -108.456589 - Revenue: 50.000000 - Time: 63.382635 - Distance: 29.732137
Individual 66: 1, 2[1], 3[0], 4[0], 5[0], 1 Profit: -77.119084 - Revenue: 40.000000 - Time: 46.847634 - Distance: 17.204651
Individual 67: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137
Individual 68: 1, 5[0], 4[1], 2[1], 3[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 69: 1, 2[0], 5[1], 3[0], 4[0], 1 Profit: -102.401903 - Revenue: 30.000000 - Time: 52.960761 - Distance: 34.058773
Individual 70: 1, 4[0], 5[1], 3[0], 2[1], 1 Profit: -69.413980 - Revenue: 70.000000 - Time: 55.765592 - Distance: 15.620499
Individual 71: 1, 4[0], 2[0], 5[1], 3[0], 1 Profit: -143.308444 - Revenue: 30.000000 - Time: 69.323378 - Distance: 29.732137
Individual 72: 1, 5[1], 2[0], 4[1], 3[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
