EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
292|5.294912|0.145504|3.536992|1.877056
293|5.294912|0.143456|3.281408|1.848704
294|5.294912|0.145248|3.402944|1.860960
295|5.294912|0.144256|3.365152|1.850112
296|5.294912|0.144544|3.422816|1.865920
297|5.294912|0.145280|3.467488|1.849120
298|5.294912|0.144320|3.349440|1.878144
299|5.294912|0.143744|3.260736|1.859552
300|5.294912|0.140480|3.424992|1.853920
301|5.294912|0.145280|3.437024|1.846816
302|5.294912|0.146240|3.435040|1.860288
303|5.294912|0.152384|3.592640|1.846784
304|5.294912|0.145664|3.405600|1.848704
305|5.294912|0.144384|3.281632|1.847104
306|5.294912|0.144192|3.504096|1.861536
307|5.294912|0.154496|3.319456|1.849472
308|5.294912|0.141408|3.458912|1.857376
309|5.294912|0.143264|3.274336|1.857184
310|5.294912|0.141696|3.354400|1.874368
311|5.294912|0.145280|3.368608|1.857856
312|5.294912|0.143616|3.158848|1.851616
313|5.294912|0.143936|3.375296|1.857152
314|5.294912|0.145600|3.533056|1.871008
315|5.294912|0.150944|3.417024|1.869664
316|5.294912|0.146880|3.500608|1.857792
317|5.294912|0.144576|3.417952|1.861024
318|5.294912|0.145312|3.428160|1.856352
319|5.294912|0.142624|3.136352|1.863200
320|5.294912|0.141216|3.357248|1.857216
321|5.294912|0.140320|3.381056|1.853280
322|5.294912|0.144128|3.311616|1.846080
323|5.294912|0.143936|3.381792|1.864000
324|5.294912|0.139936|3.281024|1.869472
325|5.294912|0.145088|3.347392|1.857088
326|5.294912|0.144928|3.324256|1.868800
327|5.294912|0.145568|3.388224|1.854784
328|5.294912|0.145696|3.377856|1.864224
329|5.294912|0.144736|3.298592|1.854880
330|5.294912|0.145120|3.466848|1.866400
331|5.294912|0.142624|3.468480|1.855232
332|5.294912|0.145248|3.436384|1.864800
333|5.294912|0.144608|3.384192|1.861600
334|5.294912|0.146624|3.490688|1.858400
335|5.294912|0.145088|3.533088|1.857664
336|5.294912|0.142624|3.297056|1.859936
