PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.203100 ms
Individual 80: 1, 4[0], 2[0], 5[0], 3[0], 1 Profit: -169.067181 - Revenue: 0.000000 - Time: 67.626872 - Distance: 29.732137
Individual 81: 1, 2[1], 5[0], 4[1], 3[0], 1 Profit: -69.145445 - Revenue: 90.000000 - Time: 63.658178 - Distance: 29.732137
Individual 82: 1, 5[0], 2[1], 4[1], 3[0], 1 Profit: -95.465985 - Revenue: 90.000000 - Time: 74.186394 - Distance: 29.732137
Individual 83: 1, 5[1], 4[1], 3[0], 2[1], 1 Profit: -54.167919 - Revenue: 120.000000 - Time: 69.667168 - Distance: 15.620499
Individual 84: 1, 2[1], 5[1], 4[0], 3[0], 1 Profit: -62.242020 - Revenue: 70.000000 - Time: 52.896808 - Distance: 29.732137
Individual 85: 1, 4[1], 5[0], 2[1], 3[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 86: 1, 4[1], 3[1], 2[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 87: 1, 3[1], 2[0], 5[0], 4[0], 1 Profit: -173.145372 - Revenue: 300.000000 - Time: 189.258149 - Distance: 34.058773
Individual 88: 1, 2[1], 3[0], 4[0], 5[1], 1 Profit: -48.800189 - Revenue: 70.000000 - Time: 47.520075 - Distance: 17.204651
Individual 89: 1, 5[1], 2[1], 3[0], 4[0], 1 Profit: -82.375912 - Revenue: 70.000000 - Time: 60.950365 - Distance: 34.058773
Individual 90: 1, 2[1], 5[1], 3[0], 4[0], 1 Profit: -62.834420 - Revenue: 70.000000 - Time: 53.133768 - Distance: 34.058773
Individual 91: 1, 5[0], 3[0], 2[1], 4[1], 1 Profit: -94.791368 - Revenue: 90.000000 - Time: 73.916547 - Distance: 34.058773
Individual 92: 1, 3[1], 4[1], 2[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 93: 1, 4[1], 5[0], 3[1], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 94: 1, 2[1], 5[0], 4[1], 3[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 95: 1, 2[0], 3[1], 4[1], 5[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 96: 1, 5[0], 4[0], 3[1], 2[0], 1 Profit: 50.697621 - Revenue: 300.000000 - Time: 99.720951 - Distance: 15.620499
Individual 97: 1, 3[1], 5[1], 4[0], 2[0], 1 Profit: -195.579394 - Revenue: 330.000000 - Time: 210.231758 - Distance: 15.620499
Individual 98: 1, 3[0], 5[1], 4[0], 2[0], 1 Profit: -120.128704 - Revenue: 30.000000 - Time: 60.051482 - Distance: 15.620499
Individual 99: 1, 5[0], 4[0], 3[0], 2[1], 1 Profit: -76.838294 - Revenue: 40.000000 - Time: 46.735318 - Distance: 15.620499

FITTEST OF GENERATION 0
Fittest: 1, 2[0], 5[0], 4[0], 3[1], 1 Profit: 78.896241 - Revenue: 300.000000 - Time: 88.441504 - Distance: 29.732137

PARENTS FOR GENERATION 1
RUNTIME: 0.026900 ms
Parent 0: 1, 5[0], 4[0], 3[1], 2[0], 1 Profit: 50.697621 - Revenue: 300.000000 - Time: 99.720951 - Distance: 15.620499
Parent 1: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Parent 2: 1, 4[0], 2[1], 5[1], 3[1], 1 Profit: 54.750322 - Revenue: 370.000000 - Time: 126.099871 - Distance: 29.732137
Parent 3: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651

POPULATION FOR GENERATION 1
CROSSOVER RUNTIME: 0.459300 ms
LOCAL SEARCH RUNTIME: 0.100700 ms
Individual 0: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Individual 1: 1, 4[0], 2[1], 5[1], 3[1], 1 Profit: 54.750322 - Revenue: 370.000000 - Time: 126.099871 - Distance: 29.732137
Individual 2: 1, 4[0], 3[1], 5[0], 2[1], 1 Profit: 53.192858 - Revenue: 340.000000 - Time: 114.722857 - Distance: 15.620499
Individual 3: 1, 3[0], 2[1], 4[0], 5[0], 1 Profit: -120.078372 - Revenue: 40.000000 - Time: 64.031349 - Distance: 17.204651
Individual 4: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Individual 5: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Individual 6: 1, 5[0], 4[0], 3[1], 2[0], 1 Profit: 50.697621 - Revenue: 300.000000 - Time: 99.720951 - Distance: 15.620499
Individual 7: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Individual 8: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Individual 9: 1, 2[0], 3[1], 5[0], 4[0], 1 Profit: -45.948909 - Revenue: 300.000000 - Time: 138.379563 - Distance: 34.058773
Individual 10: 1, 5[0], 4[0], 3[1], 2[0], 1 Profit: 50.697621 - Revenue: 300.000000 - Time: 99.720951 - Distance: 15.620499
Individual 11: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Individual 12: 1, 5[0], 3[1], 4[0], 2[0], 1 Profit: -51.825412 - Revenue: 300.000000 - Time: 140.730165 - Distance: 15.620499
Individual 13: 1, 2[1], 5[1], 4[0], 3[1], 1 Profit: 96.136928 - Revenue: 370.000000 - Time: 109.545229 - Distance: 29.732137
Individual 14: 1, 4[0], 2[0], 3[1], 5[0], 1 Profit: 39.400583 - Revenue: 300.000000 - Time: 104.239767 - Distance: 17.204651
Individual 15: 1, 4[0], 2[1], 5[1], 3[1], 1 Profit: 54.750322 - Revenue: 370.000000 - Time: 126.099871 - Distance: 29.732137
Individual 16: 1, 5[1], 2[0], 4[0], 3[1], 1 Profit: 29.396777 - Revenue: 330.000000 - Time: 120.241289 - Distance: 29.732137
Individual 17: 1, 4[0], 2[0], 3[1], 5[1], 1 Profit: 42.813726 - Revenue: 330.000000 - Time: 114.874510 - Distance: 17.204651
Individual 18: 1, 5[0], 4[0], 3[1], 2[0], 1 Profit: 50.697621 - Revenue: 300.000000 - Time: 99.720951 - Distance: 15.620499
Individual 19: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 20: 1, 4[0], 2[1], 5[0], 3[1], 1 Profit: 73.482440 - Revenue: 340.000000 - Time: 106.607024 - Distance: 29.732137
Individual 21: 1, 3[1], 2[1], 4[0], 5[0], 1 Profit: -139.185211 - Revenue: 340.000000 - Time: 191.674085 - Distance: 17.204651
Individual 22: 1, 5[0], 4[0], 3[1], 2[1], 1 Profit: 89.789359 - Revenue: 340.000000 - Time: 100.084256 - Distance: 15.620499
